"business_id","name","address","city","state","postal_code","latitude","longitude","phone_number"
"11752","US AIRWAYS CLUB","2400 TERMINAL BLVD ","RALEIGH","NC","27623","","","111111111111111"

"1176893F-1422-201B-193949F379F53725","Quizno's","648 Holly Springs RD ","HOLLY SPRINGS","NC","27540","","","111111111111111"

"117AA727-1100-178D-CBD6C473451776C6","AVIATOR SMOKEHOUSE","525 Broad  ST ","FUQUAY VARINA ","NC","27526","","","19195672337"

"11837200-AA38-6721-3BB117E0C1C4E631","MCDONALDS #28653","1409 MAIN ST ","FUQUAY VARINA","NC","27526","","","19195523190"

"11877","Prestonwood Snack Bar","320 Prestonwood Pky ","CARY","NC","27513","","","111111111111111"

"118EAA48-8A96-11A0-B962115131B0B272","China Won","8109 Fayetteville RD ","RALEIGH","NC","27603","","","19196629799"

"11931AC8-6E33-A8E2-B902FFB96B7A6CE9","BACK 9 PUB","4220 NW CARY PKY ","CARY","NC","27513-8411","","","19194623550"

"11946","The Pour House Drink Stand","224 S BLOUNT ST","RALEIGH","NC","27601-1408","","","111111111111111"

"119C7464-EC3A-5C90-BBB9FCF47C655585","HIMALAYAN NEPALI CUISINE","746 E CHATHAM ST ","CARY","NC","27511","","","19194660550"

"11C40812-1060-9D6F-AE04129347F2A7D2","Umstead Hotel & Spa Food Service","100 Woodland Pond ","CARY","NC","27513","","","19194474000"

"11CB05FB-BE0E-A9E2-6BD99AC14041D1A0","STARBUCKS #8529","5959 TRIANGLE TOWN  BLVD ","RALEIGH","NC","27615","","","19197922227"

"11CD9A77-E76D-8CE2-8AA8A9257DE58C0A","MONA PITA MEDITERRANEAN GRILL","5260 CAPITAL BLVD ","RALEIGH","NC","27616","","","19194316500"

"11D0CE2D-E2A5-1083-AAB6D57A7DB50406","China Best","632 Holly Springs RD ","HOLLY SPRINGS","NC","27540","","","111111111111111"

"11F12CBE-F016-1203-9B7713745444749C","ANDY'S BURGERS, SHAKES, & FRIES ","239 TIMBER DR ","GARNER","NC","27529","","","19197792111"

"11FC3AFA-C459-B41F-DF7EA001D48E0030","Smithfield Chicken & Bar-B-Que #95","3578 Davis DR ","MORRISVILLE","NC","27560","","","19194682607"

"1203FA0F-15C8-1394-17A014C9C61EB956","Chili's Grill and Bar #1183","6605 Knightdale BLVD ","KNIGHTDALE","NC","27545","","","19192610167"

"120A3868-5F88-9B27-A2D45882B8924B46","Ba-Da Wings #0006","2161 Avent Ferry RD ","RALEIGH","NC","27606","","","19198323902"

"120E1727-B993-681E-4AB17E70A66B85B9","DAILY GRIND","10970 CHAPEL HILL RD ","MORRISVILLE","NC","27560","","","19198648775"

"1211CBE6-5056-A20B-FA5CA1452FE9AB92","FIREHOUSE SUBS #1138","4111 ED DR ","RALEIGH","NC","27612","","","19197837102"

"12181BF3-E7D2-14C8-0862573E7432ACC7","Mt Fuji","1311 E Broad ST ","FUQUAY VARINA","NC","27526","","","19195571888"

"121B4F3B-1289-AA2E-4A2513621F4F6FD8","Tangerine Cafe","2422 SW CaryPKWY","CARY","NC","27513","","","19194688688"

"1228358E-A6F1-1720-8C3FE2A44EB654E9","ANDYS BURGERS SHAKES & FRIES","3504 DAVIS DR ","MORRISVILLE","NC","27560","","","19194650422"

"122ADDD3-FA95-14B2-02CED2760FF2C1E3","THE CARY CAFE","212 GRANDE HEIGHTS DR ","CARY","NC","27513","","","19194699415"

"122E691C-5056-A20B-FACF1B40502F3EAB","BELGIAN CAFE","1232 W WILLIAMS ST ","APEX","NC","27502","","","19193725128"

"12306CA5-5E18-9A9C-845686BB2BA12119","Ralph's Grocery & Deli/Grill","2317 Eagle Rock RD ","WENDELL","NC","27591","","","19193662262"

"1232F0E3-5F90-F07F-45A9E7125C096F49","GYPSYS SHINY DINER","1550 BUCK JONES RD ","CARY","NC","27511","","","19194693663"

"12457BF5-F77C-2B3E-A94626CE00F16883","BITTERSWEET","16 E MARTIN ST ","RALEIGH","NC","27601","","","19199773829"

"1246C801-5056-A20B-FAF9F9185CF25974","BALI-HAI","1571 HWY. 70 W ","GARNER","NC","27529","","","19842005100"

"12551","Subway #2615","3416 POOLE RD ","RALEIGH","NC","27610-2918","","","111111111111111"

"12556","Shortie's Out of Sight Cafe","975 Walnut ST","RALEIGH","NC","27511","","","111111111111111"

"1255DD46-5056-A20B-FADDB1395CF9919E","MATTHEWS HOUSE CAFE & CATERING","317 W CHATHAM ST ","CARY","NC","27511","","","19194671944"

"125E0F75-7254-92C5-785511D99C945655","Bojangles#37","1000 Claren CIR","MORRISVILLE","NC","27560","","","19194607171"

"12606D88-5056-A20B-FABC20ECA33DA0FC","STANDARD FOODS","205 E FRANKLIN ST ","RALEIGH","NC","27604","","","19198184974"

"1261A27C-74C9-58B7-FB57ABED4608E338","Panda Express #1352","1000 Beaver Creek Commons DR ","APEX","NC","27502","","","19193626369"

"1261ED73-DBC1-8008-313493D0AD1D67F6","Jersey Mike's #3042","7949 Fayetteville RD","RALEIGH","NC","27603","","","19196610111"

"126909A7-120F-101B-F94F10A74EC8B093","JUMBO CHINA","404-183 E SIX FORKS RD ","RALEIGH","NC","27609-7869","","","19195468858"

"126B09EF-76C5-14C1-0924154CCC9CC60A","DQ Grill and Chill #41609","5260 New Bern AVE ","RALEIGH","NC","27610","","","19197575617"

